file,start,end
1201_MICA-cons,1957,1981
1301_MICA-cons,1950,1974
1301_MICA-cons,1977,2001
1321_MICA-cons,1938,1962
1331_MICA-cons,1947,1971
1391_MICA-cons,1947,1971
1401_MICA-cons,1949,1973
1451_MICA-cons,1979,2003
1491_MICA-cons,1946,1970
1521_MICA-cons,1975,1999
1631_MICA-cons,1947,1971
401_MICA-cons,1933,1957
541_MICA-cons,1958,1982
561_MICA-cons,1974,1998
571_MICA-cons,1936,1960
641_MICA-cons,1942,1966
771_MICA-cons,1974,1998
791_MICA-cons,1973,1997
941_MICA-cons,1972,1996
961_MICA-cons,1946,1970
961_MICA-cons,1975,1999
